name,team,lat,lng,mascotImage,stadiumImage,teamColor
デンカビッグスワンスタジアム,アルビレックス新潟,37.9121,139.0605,images/niigata_mascot.png,,
埼玉スタジアム2002,浦和レッズ,35.90311,139.71760,images/urawa_mascot.png,,
メルカリスタジアム,鹿島アントラーズ,35.991736,140.640533,images/kashima_mascot.png,,
味の素スタジアム,東京ヴェルディ,35.66453,139.52720,images/tokyoverdy_mascot.png,,
三協フロンテア柏スタジアム,柏レイソル,35.86889,139.97,images/kashiwa_mascot.png,,
味の素スタジアム,FC東京,35.66453,139.52720,images/fctokyo_mascot.png,,
町田GIONスタジアム,FC町田ゼルビア,35.54604,139.44619,images/machida_mascot.png,,
Uvanceとどろきスタジアム by Fujitsu,川崎フロンターレ,35.59944,139.66611,images/kawasaki_mascot.png,,
日産スタジアム,横浜Fマリノス,35.51014,139.60640,images/marinos_mascot.png,,
ニッパツ三ツ沢球技場,横浜FC,35.4621,139.6204,images/yokohamafc_mascot.png,,
レモンガススタジアム平塚,湘南ベルマーレ,35.33084,139.32632,images/shonan_mascot.png,,
IAIスタジアム日本平,清水エスパルス,35.00237,138.49582,images/shimizu_mascot.png,,
豊田スタジアム,名古屋グランパス,35.0841,137.15577,images/nagoya_mascot.png,,
サンガスタジアム by KYOCERA,京都サンガF.C,34.89431,135.73743,images/kyoto_mascot.png,,
パナソニック スタジアム 吹田,ガンバ大阪,34.80322,135.53790,images/gamba_mascot.png,,
ヨドコウ桜スタジアム,セレッソ大阪,34.73367,135.55114,images/cerezo_mascot.png,,
ノエビアスタジアム,ヴィッセル神戸,34.66581,135.18845,images/vissel_mascot.png,,
JFE晴れの国スタジアム,ファジアーノ岡山,34.67944,133.91394,images/okayama_mascot.png,,
エディオンピースウィング広島,サンフレッチェ広島,34.34624,132.46870,images/hiroshima_mascot.png,,
ベスト電器スタジアム,アビスパ福岡,33.60674,130.41854,images/fukuoka_mascot.png,,
ソユースタジアム,ブラウブリッツ秋田,39.7161,140.1328,images/akita_mascot.png,,
大和ハウス プレミストドーム,北海道コンサドーレ札幌,43.0173,141.4144,images/sapporo_mascot.png,,
ニンジニアスタジアム,愛媛FC,33.8444,132.7651,images/ehime_mascot.png,,
アシックス里山スタジアム,FC今治,34.04056,132.95867,images/imabari_mascot.png,,
藤枝総合運動公園サッカー場,藤枝MYFC,34.8111,138.2500,images/fujieda_mascot.png,,
ハワイアンズスタジアムいわき,いわきFC,37.0548,140.8539,images/iwaki_mascot.png,,
フクダ電子アリーナ,ジェフユナイテッド千葉,34.6213,140.1035,images/chiba_mascot.png,,
ヤマハスタジアム,ジュビロ磐田,34.6942,137.6943,images/iwata_mascot.png,,
富山県総合運動公園陸上競技場,カターレ富山,36.6981,137.1922,images/toyama_mascot.png,,
ケーズデンキスタジアム水戸,水戸ホーリーホック,36.4012,140.4518,images/mito_mascot.png,,
NDソフトスタジアム山形,モンテディオ山形,38.2539,140.3627,images/yamagata_mascot.png,,
クラサスドーム大分,大分トリニータ,33.2253,131.6113,images/oita_mascot.png,,
NACK5スタジアム大宮,RB大宮アルディージャ,35.9286,139.6408,images/omiya_mascot.png,,
維新みらいふスタジアム,レノファ山口FC,34.1850,131.4707,images/yamaguchi_mascot.png,,
えがお健康スタジアム,ロアッソ熊本,32.8031,130.7876,images/kumamoto_mascot.png,,
駅前不動産スタジアム,サガン鳥栖,33.3571,130.5054,images/tosu_mascot.png,,
鳴門・大塚スポーツパークポカリスエットスタジアム,徳島ヴォルティス,34.0658,134.5593,images/tokushima_mascot.png,,
PEACE STADIUM Connected by SoftBank,V・ファーレン長崎,32.8350,129.9286,images/nagasaki_mascot.png,,
ユアテックスタジアム仙台,ベガルタ仙台,38.2638,140.8719,images/sendai_mascot.png,,
JIT リサイクルインク スタジアム,ヴァンフォーレ甲府,35.6449,138.5678,images/kofu_mascot.png,,
愛鷹広域公園多目的競技場,アスルクラロ沼津,35.1033,138.8600,images/numazu_mascot.png,,
とうほう・みんなのスタジアム,福島ユナイテッドFC,37.7531,140.4637,images/fukushima_mascot.png,,
Axisバードスタジアム,ガイナーレ鳥取,35.5030,134.2070,images/tottori_mascot.png,,
岐阜メモリアルセンター長良川競技場,FC岐阜,35.4256,136.7493,images/gifu_mascot.png,,
ミクニワールドスタジアム北九州,ギラヴァンツ北九州,33.8650,130.8740,images/kitakyushu_mascot.png,,
白波スタジアム,鹿児島ユナイテッドFC,31.5950,130.5570,images/kagoshima_mascot.png,,
Pikaraスタジアム,カマタマーレ讃岐,34.3400,134.0460,images/sanuki_mascot.png,,
春野総合運動公園陸上競技場,高知ユナイテッドSC,33.5730,133.6860,images/kochi_mascot.png,,
サンプロ アルウィン,松本山雅FC,36.2300,137.9570,images/matsumoto_mascot.png,,
長野Uスタジアム,AC長野パルセイロ,36.6030,138.1650,images/nagano_mascot.png,,
ロートフィールド奈良,奈良クラブ,34.6920,135.8230,images/nara_mascot.png,,
東大阪市花園ラグビー場　第2グラウンド,FC大阪,34.6550,135.5170,images/osaka_f_mascot.png,,
沖縄県総合運動公園陸上競技場,FC琉球,26.2128,127.6810,images/ryukyu_mascot.png,,
相模原ギオンスタジアム,SC相模原,35.5650,139.3800,images/sagamihara_mascot.png,,
いちご宮崎新富サッカー場,テゲバジャーロ宮崎,31.8570,131.4200,images/miyazaki_mascot.png,,
プライフーズスタジアム,ヴァンラーレ八戸,40.5100,141.4880,images/hachinohe_mascot.png,,
金沢ゴーゴーカレースタジアム,ツエーゲン金沢,36.5850,136.6560,images/kanazawa_mascot.png,,
正田醤油スタジアム群馬,ザスパクサツ群馬,36.4860,139.0800,images/gunma_mascot.png,,
CITY FOOTBALL STATION,栃木シティ,36.5550,139.8860,images/tochigi_city_mascot.png,,
カンセキスタジアムとちぎ,栃木SC,36.5144,139.8860,images/tochigi_sc_mascot.png,,
